Downloading sigs.k8s.io/controller-tools/cmd/controller-gen@v0.19.0
go: downloading go1.25.8 (linux/amd64)
go: downloading sigs.k8s.io/controller-tools v0.19.0
go: downloading github.com/spf13/cobra v1.9.1
go: downloading golang.org/x/tools v0.36.0
go: downloading k8s.io/apimachinery v0.34.0
go: downloading k8s.io/apiextensions-apiserver v0.34.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading sigs.k8s.io/yaml v1.6.0
go: downloading k8s.io/api v0.34.0
go: downloading github.com/gobuffalo/flect v1.0.3
go: downloading k8s.io/utils v0.0.0-20250604170112-4c0f3b243397
go: downloading github.com/fatih/color v1.18.0
go: downloading k8s.io/code-generator v0.34.0
go: downloading k8s.io/gengo/v2 v2.0.0-20250604051438-85fd79dbfd9f
go: downloading gopkg.in/yaml.v2 v2.4.0
go: downloading github.com/mattn/go-colorable v0.1.13
go: downloading github.com/mattn/go-isatty v0.0.20
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading github.com/spf13/pflag v1.0.7
go: downloading k8s.io/klog/v2 v2.130.1
go: downloading golang.org/x/sys v0.35.0
go: downloading github.com/gogo/protobuf v1.3.2
go: downloading github.com/go-logr/logr v1.4.3
go: downloading github.com/google/gnostic-models v0.7.0
go: downloading k8s.io/kube-openapi v0.0.0-20250710124328-f3f2b991d03b
go: downloading sigs.k8s.io/json v0.0.0-20241014173422-cfa47c3a1cc8
go: downloading sigs.k8s.io/randfill v1.0.0
go: downloading sigs.k8s.io/structured-merge-diff/v6 v6.3.0
go: downloading gopkg.in/inf.v0 v0.9.1
go: downloading github.com/fxamacker/cbor/v2 v2.9.0
go: downloading golang.org/x/net v0.43.0
go: downloading go.yaml.in/yaml/v3 v3.0.4
go: downloading google.golang.org/protobuf v1.36.7
go: downloading github.com/x448/float16 v0.8.4
go: downloading github.com/json-iterator/go v1.1.12
go: downloading github.com/go-openapi/jsonreference v0.20.2
go: downloading github.com/go-openapi/swag v0.23.0
go: downloading github.com/go-openapi/jsonpointer v0.21.0
go: downloading github.com/modern-go/reflect2 v1.0.3-0.20250322232337-35a7c28c31ee
go: downloading github.com/modern-go/concurrent v0.0.0-20180306012644-bacd9c7ef1dd
go: downloading golang.org/x/text v0.28.0
go: downloading github.com/mailru/easyjson v0.7.7
go: downloading github.com/josharian/intern v1.0.0
go: downloading golang.org/x/sync v0.16.0
go: downloading golang.org/x/mod v0.27.0
go: downloading github.com/go-logr/zapr v1.3.0
go: downloading github.com/kelseyhightower/envconfig v1.4.0
go: downloading k8s.io/client-go v0.34.5
go: downloading sigs.k8s.io/controller-runtime v0.22.5
go: downloading istio.io/api v1.27.1
go: downloading k8s.io/api v0.34.5
go: downloading github.com/pkg/errors v0.9.1
go: downloading k8s.io/kube-openapi v0.0.0-20260127142750-a19766b6e2d4
go: downloading github.com/spf13/pflag v1.0.10
go: downloading github.com/tidwall/gjson v1.18.0
go: downloading k8s.io/code-generator v0.34.3
go: downloading github.com/fsnotify/fsnotify v1.9.0
go: downloading cloud.google.com/go/storage v1.59.2
go: downloading github.com/google/go-cmp v0.7.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/azcore v1.21.0
go: downloading github.com/Azure/azure-sdk-for-go/sdk/storage/azblob v1.6.2
go: downloading github.com/aws/aws-sdk-go-v2 v1.42.1
go: downloading go.uber.org/zap v1.27.1
go: downloading cloud.google.com/go v0.123.0
go: downloading k8s.io/apimachinery v0.34.5
go: downloading github.com/aws/aws-sdk-go-v2/feature/s3/transfermanager v0.1.17
go: downloading k8s.io/apiextensions-apiserver v0.34.3
go: downloading github.com/aws/aws-sdk-go-v2/service/s3 v1.99.1
go: downloading github.com/onsi/ginkgo/v2 v2.28.1
go: downloading github.com/kedacore/keda/v2 v2.18.0
go: downloading go.opentelemetry.io/otel/trace v1.43.0
go: downloading k8s.io/utils v0.0.0-20260108192941-914a6e750570
go: downloading go.opentelemetry.io/otel v1.43.0
go: downloading github.com/onsi/gomega v1.39.1
go: downloading github.com/open-telemetry/opentelemetry-operator v0.113.0
go: downloading github.com/stretchr/testify v1.11.1
go: downloading knative.dev/networking v0.0.0-20260120131110-a7cdca238a0d
go: downloading sigs.k8s.io/gateway-api-inference-extension v1.5.0
go: downloading github.com/googleapis/google-cloud-go-testing v0.0.0-20210719221736-1c9a4c676720
