    Updating crates.io index
 Downloading crates ...
  Downloaded arrayvec v0.7.8
  Downloaded addr2line v0.26.1
  Downloaded adler2 v2.0.1
  Downloaded array-init v2.1.0
  Downloaded ambient-authority v0.0.2
  Downloaded approx v0.5.1
  Downloaded auditable-serde v0.9.0
  Downloaded cap-net-ext v3.4.5
  Downloaded deadpool-runtime v0.1.4
  Downloaded block-buffer v0.12.1
  Downloaded block-buffer v0.10.4
  Downloaded deadpool-postgres v0.14.1
  Downloaded cpufeatures v0.2.17
  Downloaded cranelift-bitset v0.134.4
  Downloaded cobs v0.3.0
  Downloaded curve25519-dalek-derive v0.1.1
  Downloaded crypto-common v0.2.2
  Downloaded ctutils v0.4.2
  Downloaded crossbeam-epoch v0.9.20
  Downloaded idna_adapter v1.2.2
  Downloaded is_terminal_polyfill v1.70.2
  Downloaded itoa v1.0.18
  Downloaded ittapi v0.4.0
  Downloaded lazy_static v1.5.0
  Downloaded matchit v0.8.4
  Downloaded md-5 v0.11.0
  Downloaded multimap v0.10.1
  Downloaded mio v1.2.2
  Downloaded humansize v2.1.3
  Downloaded moka v0.12.15
  Downloaded rand_pcg v0.10.2
  Downloaded serde_urlencoded v0.7.1
  Downloaded potential_utf v0.1.5
  Downloaded sha2 v0.10.9
  Downloaded shlex v2.0.1
  Downloaded terminal_size v0.4.4
  Downloaded thiserror-impl v2.0.19
  Downloaded sharded-slab v0.1.7
  Downloaded sysinfo v0.32.1
  Downloaded stable_deref_trait v1.2.1
  Downloaded rustix v1.1.4
  Downloaded tokio-macros v2.7.2
  Downloaded toml v1.1.4+spec-1.1.0
  Downloaded wasi-gfx-runtime-shared v0.2.0
  Downloaded unicode-width v0.2.2
  Downloaded wasm-pkg-common v0.16.1
  Downloaded wasm-pkg-core v0.16.1
  Downloaded webpki-roots v0.26.11
  Downloaded wgpu-core-deps-windows-linux-android v29.0.4
  Downloaded zeroize_derive v1.5.0
  Downloaded zeroize v1.9.0
  Downloaded wast v35.0.2
  Downloaded zerotrie v0.2.4
  Downloaded yoke v0.8.3
  Downloaded zerovec v0.11.6
  Downloaded wit-parser v0.252.0
  Downloaded wiggle-generate v47.0.4
  Downloaded zstd-safe v7.2.4
  Downloaded webpki-roots v1.0.9
  Downloaded wit-parser v0.254.0
  Downloaded wgpu-types v29.0.4
  Downloaded x509-cert v0.2.5
  Downloaded wgpu-core v29.0.4
  Downloaded wit-component v0.254.0
  Downloaded wit-component v0.253.0
  Downloaded wit-parser v0.253.0
  Downloaded zerovec-derive v0.11.3
  Downloaded zstd v0.13.3
  Downloaded zmij v1.0.23
  Downloaded wgpu-hal v29.0.4
  Downloaded zerocopy v0.8.55
  Downloaded wasmtime-environ v47.0.4
  Downloaded wasmtime-internal-cranelift v47.0.4
  Downloaded wasmtime-internal-component-macro v47.0.4
  Downloaded wast v255.0.0
  Downloaded winnow v1.0.4
  Downloaded winnow v0.7.15
  Downloaded zerocopy-derive v0.8.55
  Downloaded wiggle v47.0.4
  Downloaded wasmtime-wasi-http v47.0.4
  Downloaded wasmtime-wasi v47.0.4
  Downloaded wiggle-macro v47.0.4
  Downloaded whoami v2.1.2
  Downloaded yoke-derive v0.8.2
  Downloaded yansi v1.0.1
  Downloaded writeable v0.6.3
  Downloaded witx v0.9.1
  Downloaded wgpu-naga-bridge v29.0.4
  Downloaded wasmtime v47.0.4
  Downloaded zerofrom-derive v0.1.7
  Downloaded zerofrom v0.1.8
  Downloaded aws-lc-sys v0.43.0
  Downloaded wasmtime-wasi-io v47.0.4
  Downloaded wasmtime-internal-wit-bindgen v47.0.4
  Downloaded wasmtime-internal-jit-icache-coherence v47.0.4
  Downloaded wasmtime-internal-jit-debug v47.0.4
  Downloaded wasmtime-internal-core v47.0.4
  Downloaded zstd-sys v2.0.16+zstd.1.5.7
