go mod tidy
go: downloading go1.27.1 (linux/amd64)
go: downloading k8s.io/kube-openapi v0.0.0-20250910181357-589584f1c912
go: downloading github.com/containernetworking/plugins v1.9.1
go: downloading github.com/kubeovn/libovsdb v0.0.0-20260902074400-457a5d8cc172
go: downloading k8s.io/code-generator v0.36.4
go: downloading go.uber.org/mock v0.6.0
go: downloading github.com/onsi/ginkgo/v2 v2.32.1
go: downloading k8s.io/klog/v2 v2.140.0
go: downloading k8s.io/api v0.36.4
go: downloading sigs.k8s.io/network-policy-api v0.1.8-0.20251209142732-3910463a5686
go: downloading kernel.org/pub/linux/libs/security/libcap/cap v1.2.78
go: downloading sigs.k8s.io/controller-runtime v0.24.1
go: downloading github.com/vishvananda/netlink v1.3.2-0.20260402033159-af2a3ea580ab
go: downloading golang.org/x/sys v0.47.0
go: downloading github.com/stretchr/testify v1.12.1
go: downloading k8s.io/apimachinery v0.36.4
go: downloading github.com/prometheus/client_golang v1.24.1
go: downloading github.com/brianvoe/gofakeit/v7 v7.16.0
go: downloading golang.org/x/tools v0.49.0
go: downloading k8s.io/utils v0.0.0-20260626114624-be93311217bd
go: downloading sigs.k8s.io/structured-merge-diff/v6 v6.4.2
go: downloading k8s.io/client-go v0.36.4
go: downloading github.com/containernetworking/cni v1.3.0
go: downloading github.com/spf13/pflag v1.0.10
go: downloading sigs.k8s.io/yaml v1.6.0
go: downloading github.com/scylladb/go-set v1.0.2
go: downloading kubevirt.io/api v1.9.0
go: downloading github.com/kubeovn/ovsdb v0.0.0-20240410091831-5dd26006c475
go: downloading kubevirt.io/client-go v1.9.0-beta.0.0.20260902025523-eca18b785298
go: downloading github.com/cenkalti/backoff/v7 v7.0.0
go: downloading github.com/cert-manager/cert-manager v1.21.1
go: downloading github.com/cnf/structhash v0.0.0-20250313080605-df4c6cc74a9a
go: downloading github.com/prometheus-community/pro-bing v0.9.1
go: downloading github.com/digitalocean/go-openvswitch v0.0.0-20251118231545-85aec29b8ee6
go: downloading github.com/parnurzeal/gorequest v0.3.0
go: downloading github.com/go-logr/logr v1.4.4
go: downloading github.com/k8snetworkplumbingwg/network-attachment-definition-client v1.7.7
go: downloading github.com/go-logr/zapr v1.3.0
go: downloading k8s.io/apiserver v0.36.4
go: downloading github.com/osrg/gobgp/v4 v4.9.0
go: downloading github.com/evanphx/json-patch/v5 v5.9.11
go: downloading github.com/ti-mo/conntrack v0.6.0
go: downloading github.com/evanphx/json-patch v5.9.11+incompatible
go: downloading github.com/onsi/gomega v1.43.0
go: downloading k8s.io/kubernetes v1.36.4
go: downloading github.com/google/gopacket v1.1.19
go: downloading go.uber.org/zap v1.28.0
go: downloading github.com/ti-mo/netfilter v0.5.3
go: downloading github.com/containerd/containerd/v2 v2.3.4
go: downloading github.com/moby/moby/api v1.55.0
go: downloading golang.org/x/time v0.15.0
go: downloading github.com/containerd/nerdctl/v2 v2.3.5
go: downloading k8s.io/component-base v0.36.4
go: downloading go.podman.io/image/v5 v5.41.1
go: downloading google.golang.org/grpc v1.83.2
go: downloading github.com/emicklei/go-restful/v3 v3.13.0
go: downloading go.universe.tf/metallb v0.16.1
go: downloading github.com/puzpuzpuz/xsync/v4 v4.5.0
go: downloading github.com/kubeovn/arp v0.0.0-20260528080449-dad82eb4dedd
go: downloading github.com/k8snetworkplumbingwg/sriovnet v1.3.0
go: downloading k8s.io/apiextensions-apiserver v0.36.4
go: downloading gopkg.in/k8snetworkplumbingwg/multus-cni.v4 v4.3.0
go: downloading github.com/mdlayher/ndp v1.1.0
go: downloading github.com/moby/moby/client v0.5.1
go: downloading github.com/mdlayher/netx v0.0.0-20230430222610-7e21880baee8
go: downloading github.com/go-logr/stdr v1.2.2
go: downloading github.com/kubeovn/dbus/v5 v5.0.0-20260127130047-cf3ab180f3cc
go: downloading github.com/mdlayher/packet v1.1.2
go: downloading github.com/kubeovn/felix v0.0.0-20240506083207-ed396be1b6cf
go: downloading golang.org/x/net v0.58.0
go: downloading github.com/kubeovn/go-iptables v0.0.0-20230322103850-8619a8ab3dca
go: downloading github.com/kubeovn/gonetworkmanager/v3 v3.0.0-20260127125406-1297b522ba92
go: downloading k8s.io/kubectl v0.36.4
go: downloading github.com/moby/sys/mountinfo v0.7.2
go: downloading k8s.io/gengo/v2 v2.0.0-20250922181213-ec3ebc5fd46b
go: downloading github.com/sirupsen/logrus v1.10.2
go: downloading golang.org/x/mod v0.40.0
go: downloading github.com/coreos/go-iptables v0.8.0
go: downloading k8s.io/pod-security-admission v0.36.4
go: downloading github.com/mattn/go-shellwords v1.0.14
go: downloading github.com/google/uuid v1.6.0
go: downloading sigs.k8s.io/knftables v0.0.22
go: downloading kernel.org/pub/linux/libs/security/libcap/psx v1.2.78
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/prometheus/common v0.70.1
go: downloading github.com/prometheus/procfs v0.21.1
go: downloading google.golang.org/protobuf v1.36.12-0.20260120151049-f2248ac996af
go: downloading github.com/vishvananda/netns v0.0.5
go: downloading github.com/kylelemons/godebug v1.1.0
go: downloading go.yaml.in/yaml/v2 v2.4.4
go: downloading sigs.k8s.io/randfill v1.0.0
go: downloading github.com/google/go-cmp v0.7.0
go: downloading gopkg.in/inf.v0 v0.9.1
go: downloading go.yaml.in/yaml/v3 v3.0.5
go: downloading golang.org/x/sync v0.22.0
go: downloading gomodules.xyz/jsonpatch/v2 v2.5.0
go: downloading kubevirt.io/containerized-data-importer-api v1.65.0
go: downloading github.com/google/gnostic-models v0.7.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading gopkg.in/evanphx/json-patch.v4 v4.13.0
go: downloading golang.org/x/term v0.45.0
go: downloading github.com/openshift/client-go v0.0.0-20210112165513-ebc401615f47
go: downloading github.com/gorilla/websocket v1.5.4-0.20250319132907-e064f32e3674
go: downloading github.com/go-kit/log v0.2.1
go: downloading github.com/cenkalti/backoff/v4 v4.3.0
go: downloading github.com/cenkalti/rpc2 v1.0.5
go: downloading github.com/go-playground/validator/v10 v10.30.3
go: downloading github.com/mdlayher/netlink v1.11.2
go: downloading github.com/pkg/errors v0.9.1
go: downloading github.com/moul/http2curl v1.0.0
go: downloading github.com/elazarl/goproxy v1.8.4
go: downloading github.com/Masterminds/semver/v3 v3.5.0
go: downloading go.uber.org/multierr v1.11.0
go: downloading golang.org/x/text v0.41.0
go: downloading github.com/dgryski/go-farm v0.0.0-20240924180020-3414d57e47da
go: downloading github.com/eapache/channels v1.1.0
go: downloading github.com/docker/go-units v0.5.0
go: downloading github.com/moby/docker-image-spec v1.3.1
go: downloading github.com/opencontainers/image-spec v1.1.1
go: downloading github.com/mdlayher/ethernet v0.0.0-20220221185849-529eae5b6118
go: downloading github.com/opencontainers/go-digest v1.0.0
go: downloading go.podman.io/storage v1.64.0
go: downloading github.com/spf13/afero v1.15.0
go: downloading github.com/fsnotify/fsnotify v1.10.1
go: downloading github.com/containerd/log v0.1.0
go: downloading gopkg.in/natefinch/lumberjack.v2 v2.2.1
go: downloading github.com/fxamacker/cbor/v2 v2.9.2
go: downloading github.com/josharian/native v1.1.0
