    Updating crates.io index
 Downloading crates ...
  Downloaded adler2 v2.0.1
  Downloaded ambient-authority v0.0.2
  Downloaded approx v0.5.1
  Downloaded allocator-api2 v0.2.21
  Downloaded auditable-serde v0.9.0
  Downloaded array-init v2.1.0
  Downloaded cap-net-ext v3.4.5
  Downloaded atomic-waker v1.1.2
  Downloaded anstyle-query v1.1.5
  Downloaded callback-future v0.1.0
  Downloaded digest v0.11.3
  Downloaded cfg-if v1.0.4
  Downloaded darling_macro v0.23.0
  Downloaded anstyle-parse v1.0.0
  Downloaded anstream v1.0.0
  Downloaded block-buffer v0.10.4
  Downloaded autocfg v1.5.1
  Downloaded dunce v1.0.5
  Downloaded cpufeatures v0.2.17
  Downloaded crossbeam-deque v0.8.7
  Downloaded equivalent v1.0.2
  Downloaded home v0.5.12
  Downloaded directories-next v2.0.0
  Downloaded errno v0.3.14
  Downloaded futures-io v0.3.33
  Downloaded humansize v2.1.3
  Downloaded getset v0.1.7
  Downloaded id-arena v2.3.0
  Downloaded idna_adapter v1.2.2
  Downloaded lazy_static v1.5.0
  Downloaded mime v0.3.17
  Downloaded num-integer v0.1.46
  Downloaded num-complex v0.4.6
  Downloaded parking_lot v0.12.5
  Downloaded pin-project-internal v1.1.13
  Downloaded rand v0.9.5
  Downloaded reqwest v0.13.4
  Downloaded sha2 v0.10.9
  Downloaded strsim v0.11.1
  Downloaded profiling v1.0.18
  Downloaded stable_deref_trait v1.2.1
  Downloaded serde_core v1.0.229
  Downloaded terminal_size v0.4.4
  Downloaded shell-words v1.1.1
  Downloaded siphasher v1.0.3
  Downloaded tagptr v0.2.0
  Downloaded toml_datetime v1.1.1+spec-1.1.0
  Downloaded tokio-postgres v0.7.18
  Downloaded time-core v0.1.9
  Downloaded tryhard v0.5.2
  Downloaded unicode-bidi v0.3.18
  Downloaded wasm-metadata v0.254.0
  Downloaded wasi-preview1-component-adapter-provider v46.0.2
  Downloaded wasm-metadata v0.253.0
  Downloaded wasmtime-internal-versioned-export-macros v47.0.4
  Downloaded wasmtime-internal-wit-bindgen v47.0.4
  Downloaded wgpu-core-deps-windows-linux-android v29.0.4
  Downloaded yoke-derive v0.8.2
  Downloaded webpki-roots v0.26.11
  Downloaded zeroize_derive v1.5.0
  Downloaded zerofrom-derive v0.1.7
  Downloaded wasmtime-internal-cranelift v47.0.4
  Downloaded zerotrie v0.2.4
  Downloaded x509-cert v0.2.5
  Downloaded zstd-safe v7.2.4
  Downloaded libm v0.2.16
  Downloaded zstd v0.13.3
  Downloaded zmij v1.0.23
  Downloaded wit-parser v0.253.0
  Downloaded wit-parser v0.254.0
  Downloaded wgpu-core v29.0.4
  Downloaded zerocopy v0.8.55
  Downloaded wit-component v0.254.0
  Downloaded wit-component v0.253.0
  Downloaded moka v0.12.15
  Downloaded wast v255.0.0
  Downloaded async-nats v0.49.1
  Downloaded wgpu-types v29.0.4
  Downloaded wgpu-hal v29.0.4
  Downloaded wasmparser v0.254.0
  Downloaded wasmtime-environ v47.0.4
  Downloaded ash v0.38.0+1.3.281
  Downloaded wasmparser v0.255.0
  Downloaded rustls v0.23.43
  Downloaded unicode-width v0.2.2
  Downloaded wasmparser v0.253.0
  Downloaded wasmparser v0.252.0
  Downloaded oci-wasm v0.6.0
  Downloaded nix v0.31.3
  Downloaded time v0.3.54
  Downloaded tower-http v0.6.11
  Downloaded tokio-util v0.7.19
  Downloaded sysinfo v0.32.1
  Downloaded tokio-websockets v0.10.1
  Downloaded opentelemetry_sdk v0.31.0
  Downloaded aws-lc-rs v1.17.3
  Downloaded wast v35.0.2
  Downloaded tower v0.5.3
  Downloaded tonic v0.14.6
  Downloaded signatory v0.27.1
  Downloaded chrono v0.4.45
  Downloaded toml_edit v0.22.27
  Downloaded winnow v1.0.4
  Downloaded wasmtime v47.0.4
  Downloaded winnow v0.7.15
  Downloaded libc v0.2.189
  Downloaded whoami v2.1.2
  Downloaded zstd-sys v2.0.16+zstd.1.5.7
  Downloaded wasmtime-internal-cache v47.0.4
  Downloaded wasm-pkg-core v0.16.1
  Downloaded ittapi-sys v0.4.0
  Downloaded itertools v0.14.0
  Downloaded zerovec-derive v0.11.3
  Downloaded zerovec v0.11.6
  Downloaded zerocopy-derive v0.8.55
  Downloaded wiggle-generate v47.0.4
  Downloaded wiggle v47.0.4
  Downloaded wasm-pkg-client v0.16.1
  Downloaded unsafe-libyaml v0.2.11
  Downloaded icu_properties_data v2.2.0
  Downloaded wit-parser v0.252.0
  Downloaded webpki-roots v1.0.9
